Suburb,Latitude,Longitude,Venue,Category,Main Category
Alexandria,-33.912369999999946,151.19703000000004,Crust Gourmet Pizza Bar,Pizza Place,Food
Alexandria,-33.912369999999946,151.19703000000004,The Good Guys,Electronics Store,Shop & Service
Alexandria,-33.912369999999946,151.19703000000004,Subway,Sandwich Place,Food
Alexandria,-33.912369999999946,151.19703000000004,IGA Rosebery,Grocery Store,Shop & Service
Alexandria,-33.912369999999946,151.19703000000004,Cafe Isar,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,Doody Bird Cafe,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,True Alliance Brand Outlet,Clothing Store,Shop & Service
Alexandria,-33.912369999999946,151.19703000000004,Cafe 506,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,Eat Me! Espresso Bar,Café,Food
Alfords Point,-33.993479999999984,151.02471000000003,Stacys Alfords Point,Burger Joint,Food
Alfords Point,-33.993479999999984,151.02471000000003,Alfords Point Shopping Centre,Shopping Mall,Shop & Service
Alfords Point,-33.993479999999984,151.02471000000003,Lundy's Wise Cube,Flea Market,Shop & Service
Alfords Point,-33.993479999999984,151.02471000000003,Drug Dealers Paradise,Playground,Outdoors & Recreation
Alfords Point,-33.993479999999984,151.02471000000003,Party and Cake Decorating Heaven Pty Ltd,Candy Store,Shop & Service
Allambie Heights,-33.76560999999998,151.2515900000001,IGA Allambie Heights,Grocery Store,Shop & Service
Allambie Heights,-33.76560999999998,151.2515900000001,Bakers Delight,Bakery,Food
Allambie Heights,-33.76560999999998,151.2515900000001,Allambie Heights Shops,Café,Food
Allambie Heights,-33.76560999999998,151.2515900000001,Liquorland,Liquor Store,Shop & Service
Allawah,-33.97025999999994,151.1160000000001,Allawah Hotel,Pub,Nightlife Spot
Allawah,-33.97025999999994,151.1160000000001,Tindale Reserve,Playground,Outdoors & Recreation
Ambarvale,-34.083869999999926,150.8024300000001,ALDI,Grocery Store,Shop & Service
Ambarvale,-34.083869999999926,150.8024300000001,Bus Stop 2560492 (Thomas Reddal HS),Bus Stop,Travel & Transport
Ambarvale,-34.083869999999926,150.8024300000001,Ozzie Smoke,Business Service,Shop & Service
Ambarvale,-34.083869999999926,150.8024300000001,Stripe Linemarking,Business Service,Shop & Service
Ambarvale,-34.083869999999926,150.8024300000001,Ambarvale Recreation Centre,Gym / Fitness Center,Outdoors & Recreation
Annandale,-33.88004999999998,151.1713000000001,Fat Fish,Fish & Chips Shop,Food
Annandale,-33.88004999999998,151.1713000000001,Clover Cafe,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Cornersmith,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Bar Sirocco Cafe,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Vinery Foods,Australian Restaurant,Food
Annandale,-33.88004999999998,151.1713000000001,Revolver,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Bar Asia,Asian Restaurant,Food
Annandale,-33.88004999999998,151.1713000000001,Chook & Cooker,Snack Place,Food
Annandale,-33.88004999999998,151.1713000000001,Annandale Cellars,Liquor Store,Shop & Service
Annandale,-33.88004999999998,151.1713000000001,Supabarn,Grocery Store,Shop & Service
Annandale,-33.88004999999998,151.1713000000001,Lemonia Café,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Whites Creek Valley Park,Park,Outdoors & Recreation
Annandale,-33.88004999999998,151.1713000000001,Crust Gourmet Pizza Bar,Pizza Place,Food
Annandale,-33.88004999999998,151.1713000000001,Made In Italy,Italian Restaurant,Food
Annandale,-33.88004999999998,151.1713000000001,IGA Annandale,Grocery Store,Shop & Service
Annandale,-33.88004999999998,151.1713000000001,Le Comptoir Coffee House,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Black Toast,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Café on Johnston,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Chargrill Charlie's,Fried Chicken Joint,Food
Annandale,-33.88004999999998,151.1713000000001,North Annandale Hotel,Bar,Nightlife Spot
Annandale,-33.88004999999998,151.1713000000001,2 Birds Espresso & Juice Bar,Café,Food
Annandale,-33.88004999999998,151.1713000000001,Hinsby Park,Playground,Outdoors & Recreation
Annandale,-33.88004999999998,151.1713000000001,Booth St. Bakery,Bakery,Food
Annandale,-33.88004999999998,151.1713000000001,Victoria Annandale,Pub,Nightlife Spot
Annandale,-33.88004999999998,151.1713000000001,Cohen Park,Park,Outdoors & Recreation
Annangrove,-33.65580999999997,150.9413800000001,Kashi Indian Restaurant,Indian Restaurant,Food
Annangrove,-33.65580999999997,150.9413800000001,VolksMüller,Auto Garage,Shop & Service
Appin,-34.20166999999998,150.78716000000009,IGA Appin,Grocery Store,Shop & Service
Appin,-34.20166999999998,150.78716000000009,Appin Corner Cafe,Café,Food
Appin,-34.20166999999998,150.78716000000009,Appin Bakery,Bakery,Food
Appin,-34.20166999999998,150.78716000000009,Appin Chinese Resaurant,Chinese Restaurant,Food
Appin,-34.20166999999998,150.78716000000009,Appin Hotel,Pub,Nightlife Spot
Appin,-34.20166999999998,150.78716000000009,Appin Park,Park,Outdoors & Recreation
Arcadia,-33.62147999999996,151.05366999999995,All Australian Candle Making - Global Head Quarters,Art Gallery,Arts & Entertainment
Argenton,-32.93415999999996,151.6325800000001,7 Eleven Argenton,Convenience Store,Shop & Service
Argenton,-32.93415999999996,151.6325800000001,Darby's Fresh Bake,Bakery,Food
Argenton,-32.93415999999996,151.6325800000001,Koorong Books,Miscellaneous Shop,Shop & Service
Argenton,-32.93415999999996,151.6325800000001,Argy Pets,Pet Store,Shop & Service
Argenton,-32.93415999999996,151.6325800000001,Argenton Hotel,Pub,Nightlife Spot
Argenton,-32.93415999999996,151.6325800000001,Little Jack Horners Bakery,Bakery,Food
Arncliffe,-33.93664999999993,151.14678999999995,Naji's Charcoal Chicken & Kebab,Middle Eastern Restaurant,Food
Arncliffe,-33.93664999999993,151.14678999999995,IGA Arncliffe,Grocery Store,Shop & Service
Arncliffe,-33.93664999999993,151.14678999999995,Platforms 3 & 4,Platform,Travel & Transport
Arncliffe,-33.93664999999993,151.14678999999995,Arncliffe Station,Train Station,Travel & Transport
Arncliffe,-33.93664999999993,151.14678999999995,Arncliffe Fruit Market,Grocery Store,Shop & Service
Artarmon,-33.808149999999955,151.18382000000008,Salvage Specialty Coffee,Café,Food
Artarmon,-33.808149999999955,151.18382000000008,86 Hampden Road,Café,Food
Artarmon,-33.808149999999955,151.18382000000008,Everyday Canteen,Café,Food
Artarmon,-33.808149999999955,151.18382000000008,The Wilkes,Café,Food
Artarmon,-33.808149999999955,151.18382000000008,Sushi-Ya Artarmon,Japanese Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Taipei Chef Restaurant 台灣吃餐廳,Asian Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Spitroast,BBQ Joint,Food
Artarmon,-33.808149999999955,151.18382000000008,The Thai,Thai Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Wakana Yakiniku Restaurant,Japanese Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Tatsuya,Sushi Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Ramen Genki,Ramen Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Subway,Sandwich Place,Food
Artarmon,-33.808149999999955,151.18382000000008,7-Eleven,Convenience Store,Shop & Service
Artarmon,-33.808149999999955,151.18382000000008,Artarmon Fruit Market,Fruit & Vegetable Store,Shop & Service
Artarmon,-33.808149999999955,151.18382000000008,Maiya Indian Curry House,Asian Restaurant,Food
Artarmon,-33.808149999999955,151.18382000000008,Plus Fitness 24/7,Gym,Outdoors & Recreation
Artarmon,-33.808149999999955,151.18382000000008,Lucky Mart,Grocery Store,Shop & Service
Artarmon,-33.808149999999955,151.18382000000008,"Burra Oval, Artarmon",Park,Outdoors & Recreation
Artarmon,-33.808149999999955,151.18382000000008,MAC Counter,Cosmetics Shop,Shop & Service
Ashbury,-33.898169999999936,151.1210000000001,K’s Beauty Lounge,Health & Beauty Service,Shop & Service
Ashbury,-33.898169999999936,151.1210000000001,Peace Park,Park,Outdoors & Recreation
Ashbury,-33.898169999999936,151.1210000000001,Ocean Master Seafood,Seafood Restaurant,Food
Ashbury,-33.898169999999936,151.1210000000001,The Tart Sisters,Bakery,Food
Ashfield,-33.88919999999996,151.12543000000005,Manmaruya,Japanese Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Choo Choo Train,Chinese Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Thai Number 1,Thai Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Taste of Shanghai,Dumpling Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,New Shanghai 新上海,Shanghai Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,New Shanghai Night 新夜上海,Shanghai Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Japanese Dining Bar by Shinsen,Japanese Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Krema Bar,Café,Food
Ashfield,-33.88919999999996,151.12543000000005,Ashfield Vietnamese Rolls,Vietnamese Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Eaton Chinese Restaurant,Chinese Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Boost Juice,Juice Bar,Food
Ashfield,-33.88919999999996,151.12543000000005,1st Choice Liquor Superstore,Liquor Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Chemist Warehouse,Pharmacy,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Anytime Fitness,Gym,Outdoors & Recreation
Ashfield,-33.88919999999996,151.12543000000005,7-Eleven,Convenience Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,ALDI,Grocery Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Ashfield BBQ Korean Restaurant,Korean Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Kmart,Department Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Shanghai Night,Dumpling Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Ashfield Hotel,Bar,Nightlife Spot
Ashfield,-33.88919999999996,151.12543000000005,Gloria Jean's Coffees,Coffee Shop,Food
Ashfield,-33.88919999999996,151.12543000000005,Ashfield Station,Train Station,Travel & Transport
Ashfield,-33.88919999999996,151.12543000000005,Woolworths,Supermarket,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Platform 5,Platform,Travel & Transport
Ashfield,-33.88919999999996,151.12543000000005,Flavour Of Shanghai,Shanghai Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Ashfield Cafe,Malay Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,EasyWay Tea,Bubble Tea Shop,Food
Ashfield,-33.88919999999996,151.12543000000005,Platforms 3 & 4,Platform,Travel & Transport
Ashfield,-33.88919999999996,151.12543000000005,Teks Ashfield,Arts & Crafts Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Silver Spoon Coffee,Café,Food
Ashfield,-33.88919999999996,151.12543000000005,Platforms 1 & 2,Platform,Travel & Transport
Ashfield,-33.88919999999996,151.12543000000005,Pho Ha,Vietnamese Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Golden Times Chinese Restaurant,Asian Restaurant,Food
Ashfield,-33.88919999999996,151.12543000000005,Wagner Electronics,Electronics Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,Wes Electronic Services,Electronics Store,Shop & Service
Ashfield,-33.88919999999996,151.12543000000005,The Garden,Restaurant,Food
Asquith,-33.688709999999965,151.1094700000001,BP,Gas Station,Shop & Service
Asquith,-33.688709999999965,151.1094700000001,KFC,Fast Food Restaurant,Food
Asquith,-33.688709999999965,151.1094700000001,Asquith Homebrewing,Hobby Shop,Shop & Service
Asquith,-33.688709999999965,151.1094700000001,Asquith Station,Train Station,Travel & Transport
Asquith,-33.688709999999965,151.1094700000001,Coles,Supermarket,Shop & Service
Auburn,-33.848559999999964,151.0295000000001,Gaziantep Sweets & Pastry,Dessert Shop,Food
Auburn,-33.848559999999964,151.0295000000001,Jasmine 1,Lebanese Restaurant,Food
Auburn,-33.848559999999964,151.0295000000001,New Star Kebabs,Kebab Restaurant,Food
Auburn,-33.848559999999964,151.0295000000001,Sofra,Turkish Restaurant,Food
Auburn,-33.848559999999964,151.0295000000001,Anytime Fitness,Gym,Outdoors & Recreation
Auburn,-33.848559999999964,151.0295000000001,ALDI,Supermarket,Shop & Service
Auburn,-33.848559999999964,151.0295000000001,Nando's,Portuguese Restaurant,Food
Auburn,-33.848559999999964,151.0295000000001,Thainamite,Thai Restaurant,Food
Auburn,-33.848559999999964,151.0295000000001,Woolworths,Supermarket,Shop & Service
Auburn,-33.848559999999964,151.0295000000001,Oporto,Fast Food Restaurant,Food
Auburn,-33.848559999999964,151.0295000000001,NICE Bakery,Bakery,Food
Auburn,-33.848559999999964,151.0295000000001,Ali Baba's Restaurant,Turkish Restaurant,Food
Austinmer,-34.30577999999996,150.9350300000001,Austinmer Beach,Surf Spot,Outdoors & Recreation
Austinmer,-34.30577999999996,150.9350300000001,Fireworks Cafe,Café,Food
Austinmer,-34.30577999999996,150.9350300000001,Shells Diner,Burger Joint,Food
Austinmer,-34.30577999999996,150.9350300000001,Austi Beach Cafe,Café,Food
Avoca Beach,-33.46739999999994,151.4337800000001,Avoca Beach,Beach,Outdoors & Recreation
Avoca Beach,-33.46739999999994,151.4337800000001,Avoca Beach Picture Theatre,Movie Theater,Arts & Entertainment
Avoca Beach,-33.46739999999994,151.4337800000001,Becker & Co.,Coffee Shop,Food
Avoca Beach,-33.46739999999994,151.4337800000001,The Point Cafe,Café,Food
Avoca Beach,-33.46739999999994,151.4337800000001,Sul Rondo,Café,Food
Avoca Beach,-33.46739999999994,151.4337800000001,Avoca Beachside Markets,Flea Market,Shop & Service
Avoca Beach,-33.46739999999994,151.4337800000001,Avoca Sands Cafe,Café,Food
Avoca Beach,-33.46739999999994,151.4337800000001,The Kiosk Avoca Beach.,Café,Food
Balgowlah,-33.79381999999998,151.26066000000003,Porters Liquor,Liquor Store,Shop & Service
Balgowlah,-33.79381999999998,151.26066000000003,North Harbour Reserve,Park,Outdoors & Recreation
Balgowlah,-33.79381999999998,151.26066000000003,Fish Cafe,Café,Food
Balgowlah,-33.79381999999998,151.26066000000003,Tamagawa,Japanese Restaurant,Food
Balgowlah,-33.79381999999998,151.26066000000003,Sushi Roll,Japanese Restaurant,Food
Balgowlah,-33.79381999999998,151.26066000000003,Stockland Balgowlah,Shopping Mall,Shop & Service
Balgowlah,-33.79381999999998,151.26066000000003,Moreish Foods,Café,Food
Balgowlah,-33.79381999999998,151.26066000000003,Coles,Supermarket,Shop & Service
Balgowlah,-33.79381999999998,151.26066000000003,Fitness First - Platinum,Gym,Outdoors & Recreation
Balgowlah,-33.79381999999998,151.26066000000003,Balgowlah Oval,Athletics & Sports,Outdoors & Recreation
Balgowlah,-33.79381999999998,151.26066000000003,Bus Stop - 2093107,Bus Station,Travel & Transport
Balgownie,-34.388619999999946,150.8780700000001,Il Porcellino,Italian Restaurant,Food
Balgownie,-34.388619999999946,150.8780700000001,Urban Grind Cafe,Café,Food
Balgownie,-34.388619999999946,150.8780700000001,Bill and James,Café,Food
Balgownie,-34.388619999999946,150.8780700000001,Balgownie Hotel,Bar,Nightlife Spot
Balgownie,-34.388619999999946,150.8780700000001,Balgownie Beauty,Cosmetics Shop,Shop & Service
Balgownie,-34.388619999999946,150.8780700000001,Il Nido,Italian Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Kazbah,Middle Eastern Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,The Riverview Hotel,Australian Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Contessa Balmain,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Hungry Bull Co.,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Elkington Park,Park,Outdoors & Recreation
Balmain,-33.855999999999945,151.17587000000003,Efendy Restaurant & Meze Bar,Turkish Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Manjits Balmain,Indian Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Dick's Hotel,Beer Garden,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,Cantina Bar,Latin American Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,The Lodge,Wine Bar,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,The Cottage Bar & Kitchen,Italian Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Meyhanee,Turkish Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,casual mondays,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Dawn Fraser Baths,Pool,Outdoors & Recreation
Balmain,-33.855999999999945,151.17587000000003,Mabasa,Korean Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Alegrias Spanish Tapas,Tapas Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Le Caféier,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Wilhelmina's,Bar,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,Pizza e Birra,Pizza Place,Food
Balmain,-33.855999999999945,151.17587000000003,The Royal Oak Hotel,Pub,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,The Hunter Works,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Samurai Japanese Cafe,Japanese Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Sugoi,Sushi Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,SushiMan,Sushi Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Adriano Zumbo Pâtissier,Dessert Shop,Food
Balmain,-33.855999999999945,151.17587000000003,The Workers Bar & Kitchen,Bar,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,Mushiro,Sushi Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Mr Cafe & Bar,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Wild Orange,Frozen Yogurt Shop,Food
Balmain,-33.855999999999945,151.17587000000003,Cat & Fiddle Hotel,Pub,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,Broom Tree,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Crust Gourmet Pizza Bar,Pizza Place,Food
Balmain,-33.855999999999945,151.17587000000003,Pepperseeds,Thai Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Bus Stop 204142,Bus Station,Travel & Transport
Balmain,-33.855999999999945,151.17587000000003,Balmain Blu,Seafood Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Orange Peel Cafe,Café,Food
Balmain,-33.855999999999945,151.17587000000003,Teriyaki Boy,Japanese Restaurant,Food
Balmain,-33.855999999999945,151.17587000000003,Leona Edmiston Vintage,Boutique,Shop & Service
Balmain,-33.855999999999945,151.17587000000003,Unity Hall Hotel,Pub,Nightlife Spot
Balmain,-33.855999999999945,151.17587000000003,Poppy's,Coffee Shop,Food
Balmain,-33.855999999999945,151.17587000000003,Balmain Marina,Harbor / Marina,Outdoors & Recreation
Balmain,-33.855999999999945,151.17587000000003,Balmain Rowing Club,Gym / Fitness Center,Outdoors & Recreation
Bangor,-34.01859999999993,151.02890000000005,Bangor Tavern,Pub,Nightlife Spot
Bangor,-34.01859999999993,151.02890000000005,Bangor Shopping Centre,Shopping Mall,Shop & Service
Bangor,-34.01859999999993,151.02890000000005,Bangor Chicken Spot,Burger Joint,Food
Bangor,-34.01859999999993,151.02890000000005,Bangor Hot Bread,Bakery,Food
Bangor,-34.01859999999993,151.02890000000005,Inaburra Performing Arts Centre,Concert Hall,Arts & Entertainment
Banksia,-33.94551999999993,151.1414400000001,Brothers Kebabs,Kebab Restaurant,Food
Banksia,-33.94551999999993,151.1414400000001,Snow and Water Skiers Warehouse,Sporting Goods Shop,Shop & Service
Banksia,-33.94551999999993,151.1414400000001,Ibrahim Pastry,Pastry Shop,Food
Banksia,-33.94551999999993,151.1414400000001,Crunch Fitness,Gym,Outdoors & Recreation
Banksia,-33.94551999999993,151.1414400000001,Banksia Station,Train Station,Travel & Transport
Banksia,-33.94551999999993,151.1414400000001,Rocksia Hotel Bistro,Bistro,Food
Banksia,-33.94551999999993,151.1414400000001,KFC,Fast Food Restaurant,Food
Banksia,-33.94551999999993,151.1414400000001,Rocksia Hotel,Pub,Nightlife Spot
Banksia,-33.94551999999993,151.1414400000001,Platform 2 & 3,Platform,Travel & Transport
Banksia,-33.94551999999993,151.1414400000001,Platform 1,Platform,Travel & Transport
Banksia,-33.94551999999993,151.1414400000001,Banksia Bistro,Bistro,Food
Banksia,-33.94551999999993,151.1414400000001,Banksia Hotel,Pub,Nightlife Spot
Banksia,-33.94551999999993,151.1414400000001,Banksia Bakery,Bakery,Food
Banksia,-33.94551999999993,151.1414400000001,The Good Guys,Electronics Store,Shop & Service
Banksia,-33.94551999999993,151.1414400000001,Anaconda,Outdoor Supply Store,Shop & Service
Banksia,-33.94551999999993,151.1414400000001,Spotlight Centre,Shopping Mall,Shop & Service
Banksia,-33.94551999999993,151.1414400000001,Spotlight,Arts & Crafts Store,Shop & Service
Banksia,-33.94551999999993,151.1414400000001,Rockdale Park,Park,Outdoors & Recreation
Banksmeadow,-33.962449999999926,151.21468000000004,Botany Bay Hotel,Pub,Nightlife Spot
Banksmeadow,-33.962449999999926,151.21468000000004,Port Botany,Harbor / Marina,Outdoors & Recreation
Banksmeadow,-33.962449999999926,151.21468000000004,Gazal Corp,Clothing Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,Chocolates Del Mondo,Café,Food
Bankstown,-33.914589999999976,151.0342800000001,BBQ City,Buffet,Food
Bankstown,-33.914589999999976,151.0342800000001,Star Buffet @ Bankstown RSL,Buffet,Food
Bankstown,-33.914589999999976,151.0342800000001,Hoyts,Multiplex,Arts & Entertainment
Bankstown,-33.914589999999976,151.0342800000001,ALDI,Supermarket,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,Kmart,Department Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,PappaRich Bankstown,Malay Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,Anytime Fitness,Gym,Outdoors & Recreation
Bankstown,-33.914589999999976,151.0342800000001,Glacage,Café,Food
Bankstown,-33.914589999999976,151.0342800000001,Oscar's Bar & Grill,Bar,Nightlife Spot
Bankstown,-33.914589999999976,151.0342800000001,Café Nhớ,Café,Food
Bankstown,-33.914589999999976,151.0342800000001,Chin-Chilla Coffee House,Café,Food
Bankstown,-33.914589999999976,151.0342800000001,SUPA IGA Bankstown,Grocery Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,Bankstown RSL,Sports Bar,Nightlife Spot
Bankstown,-33.914589999999976,151.0342800000001,Nando's,Portuguese Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,Subway,Sandwich Place,Food
Bankstown,-33.914589999999976,151.0342800000001,7-Eleven,Convenience Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,JB Hi-Fi,Electronics Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,Summerland Restaurant,Lebanese Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,Bryan Brown Theatre,Theater,Arts & Entertainment
Bankstown,-33.914589999999976,151.0342800000001,Kanzi Lounge,Korean Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,Chef's Dynasty,Chinese Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,McDonald's,Fast Food Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,The Reject Shop Bankstown,Discount Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,Donut King,Donut Shop,Food
Bankstown,-33.914589999999976,151.0342800000001,KFC,Fast Food Restaurant,Food
Bankstown,-33.914589999999976,151.0342800000001,The Coffee Club,Coffee Shop,Food
Bankstown,-33.914589999999976,151.0342800000001,Bankstown Interchange Layover,Bus Station,Travel & Transport
Bankstown,-33.914589999999976,151.0342800000001,Chokolatta,Café,Food
Bankstown,-33.914589999999976,151.0342800000001,Noggi,Frozen Yogurt Shop,Food
Bankstown,-33.914589999999976,151.0342800000001,EasyWay Tea,Bubble Tea Shop,Food
Bankstown,-33.914589999999976,151.0342800000001,Telstra Shop,Electronics Store,Shop & Service
Bankstown,-33.914589999999976,151.0342800000001,Bay Ngo Banh Mi,Vietnamese Restaurant,Food
