Main Category,Sub Category
Food,Southwestern French Restaurant
Food,Fried Chicken Joint
Food,Friterie
Food,Gastropub
Food,German Restaurant
Food,Apple Wine Pub
Food,Bavarian Restaurant
Food,Bratwurst Joint
Food,Currywurst Joint
Food,Franconian Restaurant
Food,German Pop-Up Restaurant
Food,Palatine Restaurant
Food,Rhenisch Restaurant
Food,Schnitzel Restaurant
Food,Silesian Restaurant
Food,Swabian Restaurant
Food,Gluten-free Restaurant
Food,Greek Restaurant
Food,Bougatsa Shop
Food,Cretan Restaurant
Food,Fish Taverna
Food,Grilled Meat Restaurant
Food,Kafenio
Food,Magirio
Food,Meze Restaurant
Food,Modern Greek Restaurant
Food,Ouzeri
Food,Patsa Restaurant
Food,Souvlaki Shop
Food,Taverna
Food,Tsipouro Restaurant
Food,Halal Restaurant
Food,Hawaiian Restaurant
Food,Poke Place
Food,Hot Dog Joint
Food,Hungarian Restaurant
Food,Indian Restaurant
Food,Andhra Restaurant
Food,Awadhi Restaurant
Food,Bengali Restaurant
Food,Chaat Place
Food,Chettinad Restaurant
Food,Dhaba
Food,Dosa Place
Food,Goan Restaurant
Food,Gujarati Restaurant
Food,Hyderabadi Restaurant
Food,Indian Chinese Restaurant
Food,Indian Sweet Shop
Food,Irani Cafe
Food,Jain Restaurant
Food,Karnataka Restaurant
Food,Kerala Restaurant
Food,Maharashtrian Restaurant
Food,Mughlai Restaurant
Food,Multicuisine Indian Restaurant
Food,North Indian Restaurant
Food,Northeast Indian Restaurant
Food,Parsi Restaurant
Food,Punjabi Restaurant
Food,Rajasthani Restaurant
Food,South Indian Restaurant
Food,Udupi Restaurant
Food,Irish Pub
Food,Italian Restaurant
Food,Abruzzo Restaurant
Food,Agriturismo
Food,Aosta Restaurant
Food,Basilicata Restaurant
Food,Calabria Restaurant
Food,Campanian Restaurant
Food,Emilia Restaurant
Food,Friuli Restaurant
Food,Ligurian Restaurant
Food,Lombard Restaurant
Food,Malga
Food,Marche Restaurant
Food,Molise Restaurant
Food,Piadineria
Food,Piedmontese Restaurant
Food,Puglia Restaurant
Food,Romagna Restaurant
Food,Roman Restaurant
Food,Sardinian Restaurant
Food,Sicilian Restaurant
Food,South Tyrolean Restaurant
Food,Trattoria/Osteria
Food,Trentino Restaurant
Food,Tuscan Restaurant
Food,Umbrian Restaurant
Food,Veneto Restaurant
Food,Jewish Restaurant
Food,Kosher Restaurant
Food,Juice Bar
Food,Kebab Restaurant
Food,Latin American Restaurant
Food,Arepa Restaurant
Food,Empanada Restaurant
Food,Salvadoran Restaurant
Food,South American Restaurant
Food,Argentinian Restaurant
Food,Brazilian Restaurant
Food,Acai House
Food,Baiano Restaurant
Food,Central Brazilian Restaurant
Food,Churrascaria
Food,Empada House
Food,Goiano Restaurant
Food,Mineiro Restaurant
Food,Northeastern Brazilian Restaurant
Food,Northern Brazilian Restaurant
Food,Pastelaria
Food,Southeastern Brazilian Restaurant
Food,Southern Brazilian Restaurant
Food,Tapiocaria
Food,Colombian Restaurant
Food,Peruvian Restaurant
Food,Venezuelan Restaurant
Food,Mac & Cheese Joint
Food,Mediterranean Restaurant
Food,Moroccan Restaurant
Food,Mexican Restaurant
Food,Botanero
Food,Burrito Place
Food,Taco Place
Food,Tex-Mex Restaurant
Food,Yucatecan Restaurant
Food,Middle Eastern Restaurant
Food,Egyptian Restaurant
Food,Iraqi Restaurant
Food,Israeli Restaurant
Food,Kurdish Restaurant
Food,Lebanese Restaurant
Food,Persian Restaurant
Food,Ash and Haleem Place
Food,Dizi Place
Food,Gilaki Restaurant
Food,Jegaraki
Food,Tabbakhi
Food,Shawarma Place
Food,Syrian Restaurant
Food,Yemeni Restaurant
Food,Modern European Restaurant
Food,Molecular Gastronomy Restaurant
Food,Pakistani Restaurant
Food,Pet Café
Food,Pizza Place
Food,Polish Restaurant
Food,Portuguese Restaurant
Food,Poutine Place
Food,Restaurant
Food,Russian Restaurant
Food,Blini House
Food,Pelmeni House
Food,Salad Place
Food,Sandwich Place
Food,Scandinavian Restaurant
Food,Scottish Restaurant
Food,Seafood Restaurant
Food,Slovak Restaurant
Food,Snack Place
Food,Soup Place
Food,Southern / Soul Food Restaurant
Food,Spanish Restaurant
Food,Paella Restaurant
Food,Tapas Restaurant
Food,Sri Lankan Restaurant
Food,Steakhouse
Food,Swiss Restaurant
Food,Tea Room
Food,Theme Restaurant
Food,Truck Stop
Food,Turkish Restaurant
Food,Borek Place
Food,Cigkofte Place
Food,Doner Restaurant
Food,Gozleme Place
Food,Kofte Place
Food,Kokoreç Restaurant
Food,Kumpir Restaurant
Food,Kumru Restaurant
Food,Manti Place
Food,Meyhane
Food,Pide Place
Food,Pilavcı
Food,Söğüş Place
Food,Tantuni Restaurant
Food,Turkish Coffeehouse
Food,Turkish Home Cooking Restaurant
Food,Çöp Şiş Place
Food,Ukrainian Restaurant
Food,Varenyky restaurant
Food,West-Ukrainian Restaurant
Food,Vegetarian / Vegan Restaurant
Food,Wings Joint
Nightlife Spot,Bar
Nightlife Spot,Beach Bar
Nightlife Spot,Beer Bar
Nightlife Spot,Beer Garden
Nightlife Spot,Champagne Bar
Nightlife Spot,Cocktail Bar
Nightlife Spot,Dive Bar
Nightlife Spot,Gay Bar
Nightlife Spot,Hookah Bar
Nightlife Spot,Hotel Bar
Nightlife Spot,Karaoke Bar
Nightlife Spot,Pub
Nightlife Spot,Sake Bar
Nightlife Spot,Speakeasy
Nightlife Spot,Sports Bar
Nightlife Spot,Tiki Bar
Nightlife Spot,Whisky Bar
Nightlife Spot,Wine Bar
Nightlife Spot,Brewery
Nightlife Spot,Lounge
Nightlife Spot,Night Market
Nightlife Spot,Nightclub
Nightlife Spot,Other Nightlife
Nightlife Spot,Strip Club
Outdoors & Recreation,Athletics & Sports
Outdoors & Recreation,Badminton Court
Outdoors & Recreation,Baseball Field
Outdoors & Recreation,Basketball Court
Outdoors & Recreation,Bowling Green
Outdoors & Recreation,Curling Ice
Outdoors & Recreation,Golf Course
Outdoors & Recreation,Golf Driving Range
Outdoors & Recreation,Gym / Fitness Center
Outdoors & Recreation,Boxing Gym
Outdoors & Recreation,Climbing Gym
Outdoors & Recreation,Cycle Studio
Outdoors & Recreation,Gym Pool
Outdoors & Recreation,Gymnastics Gym
Outdoors & Recreation,Gym
Outdoors & Recreation,Martial Arts Dojo
Outdoors & Recreation,Outdoor Gym
Outdoors & Recreation,Pilates Studio
Outdoors & Recreation,Track
Outdoors & Recreation,Weight Loss Center
Outdoors & Recreation,Yoga Studio
Outdoors & Recreation,Hockey Field
Outdoors & Recreation,Hockey Rink
Outdoors & Recreation,Paintball Field
Outdoors & Recreation,Rugby Pitch
Outdoors & Recreation,Skate Park
Outdoors & Recreation,Skating Rink
Outdoors & Recreation,Soccer Field
Outdoors & Recreation,Sports Club
Outdoors & Recreation,Squash Court
Outdoors & Recreation,Tennis Court
Outdoors & Recreation,Volleyball Court
Outdoors & Recreation,Bathing Area
Outdoors & Recreation,Bay
Outdoors & Recreation,Beach
Outdoors & Recreation,Nudist Beach
Outdoors & Recreation,Surf Spot
Outdoors & Recreation,Bike Trail
Outdoors & Recreation,Botanical Garden
Outdoors & Recreation,Bridge
Outdoors & Recreation,Campground
Outdoors & Recreation,Canal Lock
Outdoors & Recreation,Canal
Outdoors & Recreation,Castle
Outdoors & Recreation,Cave
Outdoors & Recreation,Cemetery
Outdoors & Recreation,Dive Spot
Outdoors & Recreation,Dog Run
Outdoors & Recreation,Farm
Outdoors & Recreation,Field
Outdoors & Recreation,Fishing Spot
Outdoors & Recreation,Forest
Outdoors & Recreation,Fountain
Outdoors & Recreation,Garden
Outdoors & Recreation,Gun Range
Outdoors & Recreation,Harbor / Marina
Outdoors & Recreation,Hill
Outdoors & Recreation,Hot Spring
Outdoors & Recreation,Indoor Play Area
Outdoors & Recreation,Island
Outdoors & Recreation,Lake
Outdoors & Recreation,Lighthouse
Outdoors & Recreation,Mountain Hut
Outdoors & Recreation,Mountain
Outdoors & Recreation,National Park
Outdoors & Recreation,Nature Preserve
Outdoors & Recreation,Other Great Outdoors
Outdoors & Recreation,Palace
Outdoors & Recreation,Park
Outdoors & Recreation,Pedestrian Plaza
Outdoors & Recreation,Playground
Outdoors & Recreation,Plaza
Outdoors & Recreation,Pool
Outdoors & Recreation,Rafting
Outdoors & Recreation,Recreation Center
Outdoors & Recreation,Reservoir
Outdoors & Recreation,River
Outdoors & Recreation,Rock Climbing Spot
Outdoors & Recreation,Roof Deck
Outdoors & Recreation,Scenic Lookout
Outdoors & Recreation,Sculpture Garden
Outdoors & Recreation,Ski Area
Outdoors & Recreation,Apres Ski Bar
Outdoors & Recreation,Ski Chairlift
Outdoors & Recreation,Ski Chalet
Outdoors & Recreation,Ski Lodge
Outdoors & Recreation,Ski Trail
Outdoors & Recreation,Skydiving Drop Zone
Outdoors & Recreation,Stables
Outdoors & Recreation,State / Provincial Park
Outdoors & Recreation,States & Municipalities
Outdoors & Recreation,City
Outdoors & Recreation,County
Outdoors & Recreation,Country
Outdoors & Recreation,Neighborhood
Outdoors & Recreation,State
Outdoors & Recreation,Town
Outdoors & Recreation,Village
Outdoors & Recreation,Summer Camp
Outdoors & Recreation,Trail
Outdoors & Recreation,Tree
Outdoors & Recreation,Vineyard
Outdoors & Recreation,Volcano
Outdoors & Recreation,Waterfall
Outdoors & Recreation,Waterfront
Outdoors & Recreation,Well
Outdoors & Recreation,Windmill
Professional & Other Places,Animal Shelter
Professional & Other Places,Art Studio
Professional & Other Places,Auditorium
Professional & Other Places,Ballroom
Professional & Other Places,Building
Professional & Other Places,Business Center
Professional & Other Places,Club House
Professional & Other Places,Community Center
Professional & Other Places,Convention Center
Professional & Other Places,Meeting Room
Professional & Other Places,Cultural Center
Professional & Other Places,Distillery
Professional & Other Places,Distribution Center
Professional & Other Places,Event Space
Professional & Other Places,Outdoor Event Space
Professional & Other Places,Factory
Professional & Other Places,Fair
Professional & Other Places,Funeral Home
Professional & Other Places,Government Building
Professional & Other Places,Capitol Building
Professional & Other Places,City Hall
Professional & Other Places,Courthouse
Professional & Other Places,Embassy / Consulate
Professional & Other Places,Fire Station
Professional & Other Places,Monument / Landmark
Professional & Other Places,Police Station
Professional & Other Places,Town Hall
Professional & Other Places,Industrial Estate
Professional & Other Places,Laboratory
Professional & Other Places,Library
Professional & Other Places,Medical Center
Professional & Other Places,Acupuncturist
Professional & Other Places,Alternative Healer
Professional & Other Places,Chiropractor
Professional & Other Places,Dentist's Office
Professional & Other Places,Doctor's Office
Professional & Other Places,Emergency Room
Professional & Other Places,Eye Doctor
Professional & Other Places,Hospital
Professional & Other Places,Hospital Ward
Professional & Other Places,Maternity Clinic
Professional & Other Places,Medical Lab
Professional & Other Places,Mental Health Office
Professional & Other Places,Nutritionist
Professional & Other Places,Physical Therapist
Professional & Other Places,Rehab Center
Professional & Other Places,Urgent Care Center
Professional & Other Places,Veterinarian
Professional & Other Places,Military Base
Professional & Other Places,Non-Profit
Professional & Other Places,Observatory
Professional & Other Places,Office
Professional & Other Places,Advertising Agency
Professional & Other Places,Campaign Office
Professional & Other Places,Conference Room
Professional & Other Places,Corporate Amenity
Professional & Other Places,Corporate Cafeteria
Professional & Other Places,Corporate Coffee Shop
Professional & Other Places,Coworking Space
Professional & Other Places,Tech Startup
Professional & Other Places,Parking
Professional & Other Places,Post Office
Professional & Other Places,Power Plant
Professional & Other Places,Prison
Professional & Other Places,Radio Station
Professional & Other Places,Recruiting Agency
Professional & Other Places,Research Station
Professional & Other Places,School
Professional & Other Places,Adult Education Center
Professional & Other Places,Circus School
Professional & Other Places,Cooking School
Professional & Other Places,Driving School
Professional & Other Places,Elementary School
Professional & Other Places,Flight School
Professional & Other Places,High School
Professional & Other Places,Language School
Professional & Other Places,Middle School
Professional & Other Places,Music School
Professional & Other Places,Nursery School
Professional & Other Places,Preschool
Professional & Other Places,Private School
Professional & Other Places,Religious School
Professional & Other Places,Swim School
Professional & Other Places,Social Club
Professional & Other Places,Spiritual Center
Professional & Other Places,Buddhist Temple
Professional & Other Places,Cemevi
Professional & Other Places,Church
Professional & Other Places,Confucian Temple
Professional & Other Places,Hindu Temple
Professional & Other Places,Kingdom Hall
Professional & Other Places,Monastery
Professional & Other Places,Mosque
Professional & Other Places,Prayer Room
Professional & Other Places,Shrine
Professional & Other Places,Sikh Temple
Professional & Other Places,Synagogue
Professional & Other Places,Temple
Professional & Other Places,Terreiro
Professional & Other Places,TV Station
Professional & Other Places,Voting Booth
Professional & Other Places,Warehouse
Professional & Other Places,Waste Facility
Professional & Other Places,Wedding Hall
Professional & Other Places,Winery
Residence,Assisted Living
Residence,Home (private)
Residence,Housing Development
Residence,Residential Building (Apartment / Condo)
Residence,Trailer Park
Shop & Service,ATM
Shop & Service,Adult Boutique
Shop & Service,Antique Shop
Shop & Service,Arts & Crafts Store
Shop & Service,Astrologer
Shop & Service,Auto Dealership
Shop & Service,Auto Garage
Shop & Service,Auto Workshop
Shop & Service,Automotive Shop
Shop & Service,Baby Store
Shop & Service,Bank
Shop & Service,Bath House
Shop & Service,Batik Shop
Shop & Service,Betting Shop
Shop & Service,Big Box Store
Shop & Service,Bike Shop
Shop & Service,Board Shop
Shop & Service,Bookstore
Shop & Service,Bridal Shop
Shop & Service,Business Service
Shop & Service,Camera Store
Shop & Service,Candy Store
Shop & Service,Car Wash
Shop & Service,Carpet Store
Shop & Service,Check Cashing Service
Shop & Service,Child Care Service
Shop & Service,Daycare
Shop & Service,Chocolate Shop
Shop & Service,Clothing Store
Shop & Service,Accessories Store
Shop & Service,Boutique
Shop & Service,Kids Store
Shop & Service,Lingerie Store
Shop & Service,Men's Store
Shop & Service,Shoe Store
Shop & Service,Women's Store
Shop & Service,Comic Shop
Shop & Service,Construction & Landscaping
Shop & Service,Convenience Store
Shop & Service,Cosmetics Shop
Shop & Service,Costume Shop
Shop & Service,Credit Union
Shop & Service,Currency Exchange
Shop & Service,Department Store
Shop & Service,Design Studio
Shop & Service,Discount Store
Shop & Service,Dive Shop
Shop & Service,Drugstore
Shop & Service,Dry Cleaner
Shop & Service,EV Charging Station
Shop & Service,Electronics Store
Shop & Service,Entertainment Service
Shop & Service,Event Service
Shop & Service,Fabric Shop
Shop & Service,Film Studio
Shop & Service,Financial or Legal Service
Shop & Service,Fireworks Store
Shop & Service,Fishing Store
Shop & Service,Flea Market
Shop & Service,Floating Market
Shop & Service,Flower Shop
Shop & Service,Food & Drink Shop
Shop & Service,Beer Store
Shop & Service,Butcher
Shop & Service,Cheese Shop
Shop & Service,Dairy Store
Shop & Service,Farmers Market
Shop & Service,Fish Market
Shop & Service,Food Service
Shop & Service,Gourmet Shop
Shop & Service,Grocery Store
Shop & Service,Health Food Store
Shop & Service,Kuruyemişçi
Shop & Service,Liquor Store
Shop & Service,Organic Grocery
Shop & Service,Sausage Shop
Shop & Service,Street Food Gathering
Shop & Service,Supermarket
Shop & Service,Turşucu
Shop & Service,Wine Shop
Shop & Service,Frame Store
Shop & Service,Fruit & Vegetable Store
Shop & Service,Furniture / Home Store
Shop & Service,Lighting Store
Shop & Service,Gaming Cafe
Shop & Service,Garden Center
Shop & Service,Gas Station
Shop & Service,Gift Shop
Shop & Service,Gun Shop
Shop & Service,Hardware Store
Shop & Service,Health & Beauty Service
Shop & Service,Herbs & Spices Store
Shop & Service,Hobby Shop
Shop & Service,Home Service
Shop & Service,Hunting Supply
Shop & Service,IT Services
Shop & Service,Insurance Office
Shop & Service,Internet Cafe
Shop & Service,Jewelry Store
Shop & Service,Kitchen Supply Store
Shop & Service,Knitting Store
Shop & Service,Laundromat
Shop & Service,Laundry Service
Shop & Service,Lawyer
Shop & Service,Leather Goods Store
Shop & Service,Locksmith
Shop & Service,Lottery Retailer
Shop & Service,Luggage Store
Shop & Service,Marijuana Dispensary
Shop & Service,Market
Shop & Service,Massage Studio
Shop & Service,Mattress Store
Shop & Service,Medical Supply Store
Shop & Service,Miscellaneous Shop
Shop & Service,Mobile Phone Shop
Shop & Service,Mobility Store
Shop & Service,Motorcycle Shop
Shop & Service,Motorsports Shop
Shop & Service,Music Store
Shop & Service,Nail Salon
Shop & Service,Newsstand
Shop & Service,Notary
Shop & Service,Optical Shop
Shop & Service,Other Repair Shop
Shop & Service,Outdoor Supply Store
Shop & Service,Outlet Mall
Shop & Service,Outlet Store
Shop & Service,Paper / Office Supplies Store
Shop & Service,Pawn Shop
Shop & Service,Perfume Shop
Shop & Service,Pet Service
Shop & Service,Pet Store
Shop & Service,Pharmacy
Shop & Service,Photography Lab
Shop & Service,Photography Studio
Shop & Service,Piercing Parlor
Shop & Service,Pop-Up Shop
Shop & Service,Print Shop
Shop & Service,Public Bathroom
Shop & Service,Real Estate Office
Shop & Service,Record Shop
Shop & Service,Recording Studio
Shop & Service,Recycling Facility
Shop & Service,Rental Service
Shop & Service,Salon / Barbershop
Shop & Service,Sauna / Steam Room
Shop & Service,Shipping Store
Shop & Service,Shoe Repair
Shop & Service,Shopping Mall
Shop & Service,Shopping Plaza
Shop & Service,Skate Shop
Shop & Service,Ski Shop
Shop & Service,Smoke Shop
Shop & Service,Smoothie Shop
Shop & Service,Souvenir Shop
Shop & Service,Spa
Shop & Service,Sporting Goods Shop
Shop & Service,Stationery Store
Shop & Service,Storage Facility
Shop & Service,Supplement Shop
Shop & Service,Tailor Shop
Shop & Service,Tanning Salon
Shop & Service,Tattoo Parlor
Shop & Service,Thrift / Vintage Store
Shop & Service,Toy / Game Store
Shop & Service,Travel Agency
Shop & Service,Used Bookstore
Shop & Service,Vape Store
Shop & Service,Video Game Store
Shop & Service,Video Store
Shop & Service,Warehouse Store
Shop & Service,Watch Shop
Travel & Transport,Airport
Travel & Transport,Airport Food Court
Travel & Transport,Airport Gate
Travel & Transport,Airport Lounge
Travel & Transport,Airport Service
Travel & Transport,Airport Terminal
Travel & Transport,Airport Tram
Travel & Transport,Baggage Claim
Travel & Transport,Plane
Travel & Transport,Baggage Locker
Travel & Transport,Bike Rental / Bike Share
Travel & Transport,Boat Rental
Travel & Transport,Boat or Ferry
Travel & Transport,Border Crossing
Travel & Transport,Bus Station
Travel & Transport,Bus Line
Travel & Transport,Bus Stop
Travel & Transport,Cable Car
Travel & Transport,Cruise
Travel & Transport,Duty-free Shop
Travel & Transport,General Travel
Travel & Transport,Heliport
Travel & Transport,Hotel
Travel & Transport,Bed & Breakfast
Travel & Transport,Boarding House
Travel & Transport,Hostel
Travel & Transport,Hotel Pool
Travel & Transport,Inn
Travel & Transport,Motel
Travel & Transport,Resort
Travel & Transport,Vacation Rental
Travel & Transport,Intersection
Travel & Transport,Light Rail Station
Travel & Transport,Metro Station
Travel & Transport,Moving Target
Travel & Transport,Pier
Travel & Transport,Port
Travel & Transport,RV Park
Travel & Transport,Rental Car Location
Travel & Transport,Rest Area
Travel & Transport,Road
Travel & Transport,Taxi Stand
Travel & Transport,Taxi
Travel & Transport,Toll Booth
Travel & Transport,Toll Plaza
Travel & Transport,Tourist Information Center
Travel & Transport,Train Station
Travel & Transport,Platform
Travel & Transport,Train
Travel & Transport,Tram Station
Travel & Transport,Transportation Service
Travel & Transport,Travel Lounge
Travel & Transport,Tunnel
